OBJECTID,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
11,GO-20149000113,THEFT UNDER,12/31/2013 5:00:00 AM,2013,December,Tuesday,31,365,0,1/3/2014 5:00:00 AM,2014,January,Friday,3,3,16,D51,"Apartment (Rooming House, Condo)",Apartment,KO,,RC,18,BLK,1500,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3751895486948,43.6518039909077,-8836005.68221425,5411715.21746033
12,GO-20141281947,THEFT UNDER,1/4/2014 5:00:00 AM,2014,January,Saturday,4,4,18,1/4/2014 5:00:00 AM,2014,January,Saturday,4,4,18,D51,"Apartment (Rooming House, Condo)",Apartment,MIELE,,RG,21,BLU,200,STOLEN,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.379651649712,43.6637800028837,-8836502.40102543,5413557.93753216
13,GO-20149000137,THEFT UNDER,1/3/2014 5:00:00 AM,2014,January,Friday,3,3,8,1/4/2014 5:00:00 AM,2014,January,Saturday,4,4,18,D13,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,HARDROCK,MT,18,GRY,560,STOLEN,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),-79.4233758248712,43.6859317065708,-8841369.75392179,5416967.33587115
14,GO-20141285125,THEFT UNDER,12/23/2013 5:00:00 AM,2013,December,Monday,23,357,9,1/5/2014 5:00:00 AM,2014,January,Sunday,5,5,9,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,E-BIKE,ELECTRIC,EL,23,GRN,1000,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3763604501496,43.6585104976143,-8836136.02631733,5412747.08623109
15,GO-20141287666,THEFT FROM MOTOR VEHICLE UNDER,1/4/2014 5:00:00 AM,2014,January,Saturday,4,4,20,1/5/2014 5:00:00 AM,2014,January,Sunday,5,5,18,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,IGUANA,MT,21,GRNMRN,900,STOLEN,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3630434047236,43.7058698747471,-8834653.57964907,5420037.12268317
16,GO-20141293197,B&E,12/28/2013 5:00:00 AM,2013,December,Saturday,28,362,16,1/6/2014 5:00:00 AM,2014,January,Monday,6,6,20,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GENESIS,,MT,0,WHITE,1500,STOLEN,152,East Willowdale (152),051,Willowdale East (51),-79.3975621789055,43.7793074986276,-8838496.19199355,5431352.78739274
17,GO-20141291713,PROPERTY - LOST,1/5/2014 5:00:00 AM,2014,January,Sunday,5,5,21,1/6/2014 5:00:00 AM,2014,January,Monday,6,6,12,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNKNOWN MAKE,1700,SC,0,RED,0,UNKNOWN,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),-79.4371259697797,43.7186023587707,-8842900.41306152,5421998.01814674
18,GO-20141298500,THEFT UNDER,11/22/2013 5:00:00 AM,2013,November,Friday,22,326,8,1/7/2014 5:00:00 AM,2014,January,Tuesday,7,7,13,D55,"Apartment (Rooming House, Condo)",Apartment,GIANT,RAPID,OT,3,YELRED,1300,STOLEN,070,South Riverdale (70),070,South Riverdale (70),-79.3405895843192,43.6622735216002,-8832154.03172898,5413326.1187255
19,GO-20141305317,THEFT UNDER,1/5/2014 5:00:00 AM,2014,January,Sunday,5,5,23,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,15,D51,Bar / Restaurant,Commercial,VELOTEQ,SHOGT,EL,23,BLK,1800,STOLEN,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.379357949273,43.6618755009793,-8836469.70637967,5413264.87182645
20,GO-20141298201,THEFT UNDER,12/27/2013 5:00:00 AM,2013,December,Friday,27,361,20,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,9,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,AMIGO,VESPA,EL,1,RED,3300,STOLEN,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.4011106329617,43.6469652864393,-8838891.20408594,5410970.80182267
21,GO-20141304072,B&E W'INTENT,1/7/2014 5:00:00 AM,2014,January,Tuesday,7,7,8,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,11,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GIANT,YUKON,MT,21,SILBLU,150,STOLEN,070,South Riverdale (70),070,South Riverdale (70),-79.3307823959409,43.6603254397122,-8831062.30055471,5413026.35453878
22,GO-20149000241,THEFT UNDER - BICYCLE,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,20,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,21,D51,"Apartment (Rooming House, Condo)",Apartment,OT,MILANO WD,RG,21,BLK,479,STOLEN,073,Moss Park (73),073,Moss Park (73),-79.3558020640381,43.656528295632,-8833847.47725629,5412442.09097799
23,GO-20141318595,THEFT UNDER,1/10/2014 5:00:00 AM,2014,January,Friday,10,10,9,1/10/2014 5:00:00 AM,2014,January,Friday,10,10,17,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EMMO,URBAN EN122687,SC,0,BLK,800,STOLEN,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3965402355603,43.6494389885426,-8838382.42981917,5411351.36375852
24,GO-20141318032,THEFT UNDER,1/10/2014 5:00:00 AM,2014,January,Friday,10,10,6,1/10/2014 5:00:00 AM,2014,January,Friday,10,10,15,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SUPERCYCLE,,OT,24,GRY,400,STOLEN,166,St Lawrence-East Bayfront-The Islands ,077,Waterfront Communities-The Island (77),-79.3809177432754,43.6415572806237,-8836643.34185349,5410138.87259047
25,GO-20141324363,THEFT UNDER,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,7,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,21,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NEXT,GIRL'S,OT,9,BLK,200,STOLEN,095,Annex (95),095,Annex (95),-79.4209253317949,43.6700142166383,-8841096.96628884,5414517.32648725
26,GO-20141324363,THEFT UNDER,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,7,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,21,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,CCM,SPRING,OT,5,BLU,200,STOLEN,095,Annex (95),095,Annex (95),-79.4209253317949,43.6700142166383,-8841096.96628884,5414517.32648725
