OCC_YEAR,OCC_MONTH,OCC_DOW,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_TYPE,BIKE_COST,STATUS,NEIGHBOURHOOD_158
2014,January,Monday,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,RG,1600.0,STOLEN,Cabbagetown-South St.James Town (71)
2014,January,Tuesday,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,RC,1000.0,STOLEN,South Eglinton-Davisville (174)
2014,January,Tuesday,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OT,,STOLEN,Thorncliffe Park (55)
2014,January,Wednesday,D12,"Construction Site (Warehouse, Trailer, Shed)",Commercial,RG,1800.0,STOLEN,Junction Area (90)
2014,January,Friday,D13,Ttc Subway Station,Transit,MT,,STOLEN,Yorkdale-Glen Park (31)
2014,February,Saturday,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,EL,850.0,STOLEN,Moss Park (73)
2014,February,Sunday,D54,"Apartment (Rooming House, Condo)",Apartment,MT,200.0,UNKNOWN,Broadview North (57)
2014,January,Monday,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,RG,400.0,STOLEN,Junction-Wallace Emerson (171)
2014,February,Monday,D32,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,1400.0,STOLEN,Bedford Park-Nortown (39)
2014,February,Tuesday,D14,"Apartment (Rooming House, Condo)",Apartment,SC,2000.0,STOLEN,South Parkdale (85)
2014,January,Friday,D12,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,500.0,STOLEN,Rockcliffe-Smythe (111)
2014,February,Tuesday,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,EL,400.0,STOLEN,Cabbagetown-South St.James Town (71)
2014,February,Friday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,,STOLEN,Moss Park (73)
2014,January,Saturday,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,RC,9423.0,STOLEN,Bay-Cloverhill (169)
2014,February,Friday,D54,"Construction Site (Warehouse, Trailer, Shed)",Commercial,MT,2500.0,STOLEN,Playter Estates-Danforth (67)
2014,February,Friday,D54,"Construction Site (Warehouse, Trailer, Shed)",Commercial,RC,4000.0,STOLEN,Playter Estates-Danforth (67)
2014,February,Tuesday,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,RC,3300.0,STOLEN,Thorncliffe Park (55)
